代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金股利,成交價,董監持股,現金殖利率,ROE_5YF,EPS_5YF,毛利率_5YF,現金殖利率_F,股價_F,董監持股_F,Sum,判斷
6176,瑞儀,17.51,9.61,15.96,7.16,99.0,3.95,7.23,1,1,0,1,0,0,3,0
6177,達麗,12.63,2.26,30.44,1.98,27.1,5.98,7.31,1,1,1,1,1,0,5,1
6183,關貿,12.87,1.83,41.21,1.75,69.7,48.92,2.51,1,1,1,0,1,1,5,1
6184,大豐電,6.76,2.05,40.67,2.8,48.15,11.67,5.82,1,1,1,1,1,1,6,1
6189,豐藝,13.38,2.6,8.2,2.61,36.65,10.31,7.12,1,1,0,1,1,1,5,1
6191,精成科,5.74,1.67,13.85,0.79,26.4,0.0,2.99,1,1,0,0,1,0,3,0
6192,巨路,14.22,5.89,30.14,3.46,0.0,0.0,0.0,1,1,1,0,1,0,4,1
6196,帆宣,12.97,3.99,11.59,3.21,112.0,51.85,2.87,1,1,0,0,0,1,3,0
6197,佳必琪,9.17,2.19,21.17,2.52,38.8,33.83,6.49,1,1,1,1,1,1,6,1
6201,亞弘電,10.78,2.94,20.36,2.66,0.0,15.9,0.0,1,1,1,0,1,1,5,1
6202,盛群,23.06,4.18,48.21,5.11,66.8,7.49,7.65,1,1,1,1,1,0,5,1
6205,詮欣,9.02,2.17,31.19,1.48,79.2,13.17,1.87,1,1,1,0,1,1,5,1
6206,飛捷,15.77,5.19,32.49,4.4,68.3,19.88,6.44,1,1,1,1,1,1,6,1
6209,今國光,-3.17,-0.66,6.06,0.88,25.6,0.0,3.44,0,0,0,0,1,0,1,0
6213,聯茂,21.5,5.88,16.65,4.38,58.5,18.43,7.49,1,1,0,1,1,1,5,1
6214,精誠,10.38,5.52,25.8,5.0,67.0,9.36,7.46,1,1,1,1,1,0,5,1
6215,和椿,4.76,0.67,25.88,0.78,20.9,20.16,3.73,0,1,1,0,1,1,4,1
6216,居易,12.25,2.16,50.16,1.81,26.15,19.7,6.92,1,1,1,1,1,1,6,1
6224,聚鼎,17.36,4.63,48.87,3.85,54.4,22.63,7.08,1,1,1,1,1,1,6,1
6225,天瀚,-195.35,-0.13,-85.99,0.0,9.2,8.66,0.0,0,0,0,0,1,0,1,0
6226,光鼎,3.06,0.34,29.58,0.17,10.6,12.31,1.6,0,1,1,0,1,1,4,1
