代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,ROE_2017,ROE_2018,ROE_2019,ROE_2020,ROE_2021,毛利率_2017,毛利率_2018,毛利率_2019,毛利率_2020,毛利率_2021,負債比_2017,負債比_2018,負債比_2019,負債比_2020,負債比_2021,稅後淨利率_2017,稅後淨利率_2018,稅後淨利率_2019,稅後淨利率_2020,稅後淨利率_2021,現金股利,成交價,董監持股,現金殖利率,ROE_Test,EPS_Test,毛利率_Test,現金殖利率_Test,成交價_Test,董監持股_Test,符合數量,正負樣本
1439,中和,6.67,1.68,1.5,-0.35,-3.67,41.34,-9.66,5.7,5.27,3.21,0.53,-1.56,0.04,7.85,7.76,0.69,7.28,21.6,-2.61,-26.06,556.03,-215.28,162.79,1.34,19.3,10.38,6.94,0,1,0,1,1,1,4,0
1440,南紡,4.49,0.7,10.77,2.71,4.23,0.47,3.89,11.15,11.63,10.96,5.55,9.43,16.27,41.3,43.08,44.69,46.07,44.27,3.25,4.26,0.51,5.51,14.7,0.42,16.35,15.82,2.57,0,1,0,0,1,1,3,0
1441,大東,-5.38,0.31,-1.69,-49.27,91.6,-24.75,-26.28,-18.19,-0.46,-2.73,-4.98,-4.97,4.7,83.3,44.84,56.8,59.61,65.44,-16.88,55.7,-22.65,-19.36,-10.5,0.24,7.97,24.17,3.01,0,1,0,0,1,1,3,0
1442,名軒,5,0.88,21.33,10.29,2.22,1.95,1.45,9.07,26.51,29.17,12.33,14.97,23.66,45.63,50.44,57.5,57.32,58.51,19.15,12.79,14.44,3.44,14.93,1.1,28.2,4.23,3.9,0,1,1,0,1,0,3,0
1443,立益,-28.77,-0.56,18.36,-49.72,-107.89,0.37,-7.35,20.74,9.89,-1.24,26.19,27.29,29.65,91.45,84.88,84.63,86.14,81.57,-25.66,-54.15,0.41,-10.32,23.55,0,19.95,18.36,0,0,0,0,0,1,1,2,-1
1444,力麗,0.79,0.16,7.52,-0.41,3.08,-0.55,-3.73,5.57,7.35,7.04,6.69,4.52,12,34.73,37.95,37.33,34.04,42.31,-0.43,2.87,-0.53,-5.07,6,0.44,10.45,19.56,4.21,0,1,0,0,1,1,3,0
1445,大宇,-1.62,-0.2,4.54,0.66,-1.33,-2.35,-3.54,-1.56,6.2,5.18,5.16,-0.55,6.7,15.84,17.41,17.41,19.18,18.11,0.77,-1.54,-2.94,-6.31,-2.01,0.22,16.1,27.82,1.37,0,0,0,0,1,1,2,-1
1446,宏和,-1.13,-0.13,19.03,-2.32,-1.73,0.02,-0.48,-1.12,13.13,5.61,20.42,31.79,24.2,56.12,57.29,63.4,62.34,64.67,-7.68,-6.4,0.05,-1.52,-8.88,0.3,31.95,9.41,0.94,0,0,0,0,1,0,1,-1
1447,力鵬,-0.77,-0.1,3.26,-1.76,1.74,-2.38,-4.06,2.62,5.36,1.91,2.59,1.73,4.71,46.8,43.98,44.17,41.56,46.33,-1.12,1.06,-1.67,-3.06,1.14,0.04,8.37,22.04,0.48,0,0,0,0,1,1,2,-1
1449,佳和,-7.07,-0.34,7.13,6.12,-18.6,-14.54,-14.16,5.82,7.77,5.62,8.45,4.71,9.09,82.35,86.38,88.94,82.96,76.93,2.15,-6.71,-4.42,-6.58,2.66,0,14.35,6.82,0,0,0,0,0,1,0,1,-1
1451,年興,1.03,0.34,6.65,3.28,5.38,-0.94,-5.85,3.3,7.05,9.79,5.11,2.92,8.4,32.53,23.88,22.96,19.63,17.95,3.11,4.56,-0.81,-6.03,3.03,1.32,22.55,18.57,5.85,0,1,0,1,1,1,4,0
1452,宏益,8.16,1.56,15.33,8.84,7.85,7.04,3.89,13.17,16.77,14.61,15.71,11.63,17.94,8.7,10.02,7.6,8.58,11.58,10.2,9.15,9.18,7.67,16.76,1.34,17.35,0,7.72,0,1,0,1,1,0,3,0
1453,大將,6.38,0.84,-3.3,-2.7,29.01,-3.49,1.19,7.88,-3.99,-1.69,-89.72,20.38,58.5,27.31,1.43,2.93,4.61,26.1,-41.88,1185.55,-101.47,6.97,239.42,0,15.7,17.85,0,0,1,0,0,1,1,3,0
1454,台富,0.51,0.06,7.41,1.16,1.28,2.28,-2.51,0.33,8.49,7.47,10.31,2.64,8.15,28.43,24.67,25.45,23.35,21.36,1,1.04,1.83,-3.18,0.33,0.27,12.25,8.24,2.2,0,1,0,0,1,0,2,-1
1455,集盛,2.9,0.38,4.09,4.71,1.17,-4.09,-0.58,13.3,5.59,3.01,-0.13,1.1,10.89,35.95,33.62,25.15,26.89,32.17,2.41,0.57,-2.56,-0.52,8.2,0.4,9.43,22.06,4.24,0,1,0,0,1,1,3,0
1456,怡華,8.39,1.28,19.49,3.34,1.06,2.15,5.43,29.99,15.04,21.95,15.2,17.66,27.59,74.76,76.85,76.13,80.81,75.54,3.81,2.6,2.4,9.5,19.23,0.3,16.15,47.63,1.86,0,1,0,0,1,1,3,0
1457,宜進,8.16,1.89,11.57,10.84,10.14,7.8,7.34,4.68,10.85,12.36,13.64,7.58,13.41,50.81,56.15,59.33,56.34,57.37,14.02,12.48,14.02,20.56,8.83,0.7,17.75,0,3.94,0,1,0,0,1,0,2,-1
1459,聯發,1.33,0.06,-0.07,2.72,-11.08,-2.72,-6.12,23.85,1.26,0.18,-1.13,-4.82,4.16,52.14,55.45,49.64,51.09,46.87,2.81,-10.63,-2.71,-10.3,30.84,0.28,8.57,14.96,3.27,0,1,0,0,1,1,3,0
1460,宏遠,-3.22,-0.26,16.04,4.43,3.14,-5.44,-21.67,3.42,19.62,17.97,15.64,7.79,19.17,59.16,58.7,64.19,71.94,53.33,2.43,1.67,-3.07,-12.76,1.82,0.38,7.86,0,4.83,0,0,0,0,1,0,1,-1
1463,強盛,9.71,1.33,28.09,25.22,11.9,5.12,2.68,3.64,48.11,36.22,21.38,19.19,15.54,10.83,10.05,9.78,14.67,16.76,39.78,31.66,21.91,13.84,18.06,1.14,13.9,13.58,8.2,0,1,1,1,1,1,5,1
1464,得力,4.66,0.67,16.69,7.84,4.68,10.7,-3.53,3.61,18.82,16.03,18.81,14.47,15.31,59.79,68.59,66.63,69.44,71.78,5.23,2.78,5.63,-2.4,1.87,1.15,14.4,8.68,7.99,0,1,0,1,1,0,3,0
1465,偉全,7.99,0.43,9.22,1.61,-2.71,48.18,-1.38,-5.76,10.17,12.99,6.44,9.08,7.42,14.66,17.5,16.62,10.77,11.37,1.85,-7.86,131.71,-5.9,-21.72,0.56,13.15,16.74,4.26,0,1,0,0,1,1,3,0
1466,聚隆,0.14,0.02,9.06,-0.17,-6.17,-6.22,2.59,10.68,6.83,3.38,7.02,10.69,17.4,52.79,55.29,54.67,53.82,52.34,-0.07,-2.54,-3.01,1.54,4.99,0.79,11.2,20.06,7.05,0,1,0,1,1,1,4,0
1467,南緯,-1.46,-0.16,20.02,-3.04,-1.75,-6.76,5.58,-1.33,19.64,17.72,16.96,25.78,19.98,67.44,64.33,63.22,58.93,63.95,-0.97,-0.59,-2.48,1.92,-0.64,0.4,11.55,46.04,3.46,0,0,1,0,1,1,3,0
1468,昶和,0.76,0.06,10.45,-9.61,3.92,4.64,3.7,1.14,7.66,15.08,5.87,12.26,11.38,56.27,57.21,54.3,56.13,64.76,-17.13,4.42,5.15,4.7,1.23,0,12,0,0,0,1,0,0,1,0,2,-1
1470,大統新創,5.55,0.62,21.86,4.42,5.19,7.88,3.63,6.61,21.45,22.28,26.21,18.02,21.36,15.57,17.39,16.35,17.66,19.84,5.97,6.48,9.27,5.61,7.29,0.58,18.2,21.54,3.19,0,1,1,0,1,1,4,0
1471,首利,-11.2,-0.86,-1.29,-30.2,-27.69,-43.12,46.82,-1.79,-5.75,-6.58,-6.32,9.99,2.19,39.44,40.51,48.75,34.59,13.64,-37.02,-25.3,-38.33,36.49,-5.21,0,7.53,13.19,0,0,0,0,0,1,1,2,-1
1472,三洋實業,-29.36,-2.26,7.4,-12,-19.88,14.17,-116.12,-12.98,3.12,0.5,8.57,4.03,20.8,60.46,63.63,68.36,85.48,88.63,-6.07,-11.34,12.24,-129.18,-5.07,0,22,12.17,0,0,0,0,0,1,1,2,-1
